Depmap ID,Expression Public 23Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000040,5.035623909730721,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000041,6.641401521145209,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000042,4.529820946528695,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000043,3.4620523187964327,HS895T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000044,3.586164245930909,MDAMB134VI,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000045,6.140369670651527,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000046,5.462052318796433,ACHN,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000048,6.763544364293921,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000049,6.145677455195635,HEKTE,Non-Cancerous,Kidney,Non-Cancerous
ACH-000050,5.035183996618336,NCIH929,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000051,4.702103406629387,TE617T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,3.5360529002402097,A673,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000053,5.301587646603187,KARPAS299,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000054,5.27015513876653,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,5.621172752683435,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000056,6.604219619402239,DOHH2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000057,5.713145902490259,OPM1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000058,2.277984747299765,ML1,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,6.687760584070346,SUPB15,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,4.748461233004035,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,2.689299160535892,HH,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,2.594548549550354,RERFLCMS,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000063,5.125981653854716,HS616T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000064,5.059182199211692,SALE,Non-Cancerous,Lung,Non-Cancerous
ACH-000065,6.189231548647284,OCIAML5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000066,6.4432751117658045,HCC4006,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000067,5.155830171556525,HS683,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000068,5.1586601753464985,REC1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000069,6.141187525005,HS611T,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000070,6.439290681042018,697,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000071,5.097189387235113,HS706T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000072,5.977737849242815,MEG01,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000073,6.997969782267101,GRANTA519,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000074,6.452694264098199,KU812,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000075,4.015247773698937,U87MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000076,6.347488497211796,NCO2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000077,6.872459421723194,MJ,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000078,5.08533966935737,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,4.579542224936903,TE125T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000080,5.934044647112246,BDCM,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000081,5.818390444469626,GDM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000082,2.6758159311722696,G292CLONEA141B1,Osteosarcoma,Bone,Osteosarcoma
ACH-000083,4.553974808237472,HS281T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000084,6.798180154435202,MUTZ3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000085,5.2861418728343015,T3M4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000086,1.967168607532628,ACCMESO1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000087,6.908692838242504,SKES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000088,4.082361969557474,HS172T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000089,5.739308070860385,NCIH684,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000090,1.769771739249448,PC3,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000091,2.733354340613827,OV56,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,5.157852169141737,NCIH2452,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000093,5.640100297890389,PANC0504,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000094,4.327687364176047,HPAFII,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000095,5.818134760810847,D341Med,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000096,5.8204342840760415,G401,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000097,4.2024177215751815,ZR751,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000098,5.094658342654544,GAMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000099,5.05006629830629,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,2.8155754288625725,RH41,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,5.560409266362118,KE37,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000102,6.439789337089688,GMS10,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000103,5.674121632632394,CAOV4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,6.932391940068527,LOUCY,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000105,5.89384755813292,ALLSIL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000106,5.493134922305505,JVM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000107,5.143230134776893,CAPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,3.657640005207824,KP3,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000109,3.2249663650002742,NCIH3255,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000110,5.860217924745852,NCCSTCK140,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000111,6.958262697329544,HCC1187,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000112,5.724377421606217,SIGM5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000113,6.448900951145128,OCIAML2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000114,5.396433531250992,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,5.468583317006828,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000116,2.017921907997262,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,2.91456452349394,EFM192A,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000118,4.270528942380718,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000119,4.516015147003665,HS863T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000120,6.41006969175638,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,5.4379600883344725,NCIH2405,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000122,3.743084055549586,SUPT11,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000123,4.826802684285827,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000124,7.653346692722177,OCILY19,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000125,4.729552770453971,TO175T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000126,5.7216460784183925,KG1C,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000127,4.279471295644468,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000128,6.856363275069203,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000129,5.843481425432457,NCIH1341,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000130,7.315058966316624,NALM19,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000131,4.339137384919585,HS229T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000132,6.311067102255596,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,6.399854673572431,HS729,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000134,5.110196177754199,HS274T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000135,4.829342193902803,HS940T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000136,5.574101508089389,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,6.377470842849648,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000138,4.095080491901415,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,4.3750394313469245,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000140,0.9560566524124028,PFEIFFER,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000141,5.221877081077034,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,5.030336078370959,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000143,5.080657663345225,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000144,2.9945797242157477,RERFGC1B,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000146,2.713695814843359,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000147,5.563768278452033,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000148,5.4571345943180365,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000149,5.92955431573285,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,6.633721812641012,HCC2935,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000151,6.732133499455177,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000152,6.00337736020232,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000153,5.098032082960526,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000154,4.93969674069176,HS888T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000155,5.383358695385111,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000156,6.959654252818082,MHHCALL4,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000157,5.596040632671138,A4FUK,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000158,6.423241995973661,OCILY3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000159,4.989139007368233,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000160,4.502075956045791,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000161,4.498889086976805,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000162,6.332707933640605,GA10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000163,6.085764553778314,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,5.067380578019059,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000165,5.246788093844365,HS751T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000166,5.427270935173585,KASUMI6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000167,5.848748114611959,KE97,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000168,3.349082146391089,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000169,5.6862203650227325,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,5.314333993919012,PRECLH,Non-Cancerous,Prostate,Non-Cancerous
ACH-000171,2.883620816285671,VMRCRCZ,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000172,5.635173946674924,TM87,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000173,3.150559676575381,JHUEM3,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000174,5.8594726668519375,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000175,4.244887059123535,TE159T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000176,5.619999829821357,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000177,5.7311832415722,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma
ACH-000178,6.994240279869044,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000179,6.200653436367468,NCIH1618,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000180,4.576522137920503,HS839T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000181,2.833902076669163,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000182,4.314696525656286,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000183,5.474111513942408,L363,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000184,4.4950555283680185,HS343T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000185,5.015693807105145,HS737T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000186,5.357552004618084,NCIH2444,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000187,5.546277132090075,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000188,2.0461417816447205,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,5.633140549522396,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000190,2.5921580021253603,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000191,5.590063018812253,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,4.487357715311548,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000193,6.165309015597156,KARPAS620,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000194,4.833396134163228,HS934T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000195,6.111031312388744,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000196,3.619413010597937,HCC1599,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000197,6.894817763307944,TALL1,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000198,6.447083226209652,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000199,4.393004256898322,HS255T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000200,4.978195629681651,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000201,5.7718855785153655,A204,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000202,5.454175893185802,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000203,5.695158678475356,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,4.855491443101874,LP1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000205,3.697106574476975,PK59,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000206,6.256444596473442,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000207,6.176123271147939,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000208,5.413120146403495,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000209,5.622930350920177,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,5.216454865144756,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000211,7.55711902192992,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000212,3.938285791884053,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000213,5.174326515173915,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000214,4.46401472450489,HS675T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000215,6.001351892999959,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000216,5.838447592548459,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000217,4.826294245499634,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000218,4.8894735425311096,PL21,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000219,5.356495987705577,A375,Melanoma,Skin,Melanoma
ACH-000220,6.602884408718419,MINO,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000221,3.586164245930909,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000222,2.6182386555954547,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,4.2471680003747725,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000224,4.787641414483327,HS819T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000225,4.39780296186249,ECC12,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000226,5.971773447193373,SUPM2,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000227,5.874796965898665,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,5.9770509061106125,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000229,4.708187236020708,HS822T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000230,3.723558561472103,HS742T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000231,6.22881869049588,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000232,6.278356528010724,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000233,5.284662185483165,DEL,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000234,5.276868829976456,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000235,4.97315203787724,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000236,2.933572638261024,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000237,4.945794956740061,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000238,5.89287670006069,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000239,5.876025732722702,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000240,4.848497755385146,HS600T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000241,5.512226886513957,JK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000242,5.35508676166836,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000243,3.3950627995175777,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000244,5.262658655072225,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000245,4.55028504908841,BL41,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000247,5.871104373555458,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000248,4.978195629681651,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000249,4.189033824390017,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000250,2.55581615506164,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000251,5.468909092110591,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000252,6.287620044112067,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000253,5.017921907997263,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000254,3.2464080872463845,SCC15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000255,6.417683768755419,LMSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
